Countries or Regions,Currency Code,Price,Year 1 Proceeds,Year 2 Proceeds,Details
Romania,RON,199.99,115.7,140.49,(Price change will apply to existing subscribers)
Russia,RUB,3490.0,2002.46,2431.56,(Price change will apply to existing subscribers)
Rwanda,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
São Tomé and Príncipe,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Saudi Arabia,SAR,179.99,109.56,133.04,(Price change will apply to existing subscribers)
Senegal,USD,49.99,29.66,36.01,(Price change will apply to existing subscribers)
Serbia,EUR,44.99,26.24,31.87,(Price change will apply to existing subscribers)
Seychelles,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Sierra Leone,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Singapore,SGD,59.98,38.52,46.77,(Price change will apply to existing subscribers)
Slovakia,EUR,44.99,25.6,31.09,(Price change will apply to existing subscribers)
Slovenia,EUR,44.99,25.81,31.35,(Price change will apply to existing subscribers)
Solomon Islands,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
South Africa,ZAR,799.99,486.95,591.3,(Price change will apply to existing subscribers)
Spain,EUR,44.99,25.91,31.53,(Price change will apply to existing subscribers)
Sri Lanka,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
St. Kitts and Nevis,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
St. Lucia,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
St. Vincent and the Grenadines,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Suriname,USD,39.99,25.45,30.9,(Price change will apply to existing subscribers)
Sweden,SEK,499.0,279.44,339.32,(Price change will apply to existing subscribers)
Switzerland,CHF,35.0,22.66,27.52,(Price change will apply to existing subscribers)
Taiwan,TWD,1290,834,1013,(Price change will apply to existing subscribers)
Tajikistan,USD,39.99,24.56,29.82,(Price change will apply to existing subscribers)
Tanzania,TZS,99900.0,58077.46,70522.63,(Price change will apply to existing subscribers)
Thailand,THB,1490.0,974.77,1183.64,(Price change will apply to existing subscribers)
Tonga,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Trinidad and Tobago,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Tunisia,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Türkiye,TRY,1999.99,1108.33,1345.83,(Price change will apply to existing subscribers)
Turkmenistan,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Turks and Caicos Islands,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Uganda,USD,49.99,28.17,34.21,(Price change will apply to existing subscribers)
Ukraine,USD,49.99,29.16,35.41,(Price change will apply to existing subscribers)
United Arab Emirates,AED,149.99,99.99,121.42,(Price change will apply to existing subscribers)
United Kingdom,GBP,39.99,23.19,28.24,(Price change will apply to existing subscribers)
United States,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Uruguay,USD,39.99,27.1,33.44,(Price change will apply to existing subscribers)
Uzbekistan,USD,39.99,24.99,30.35,(Price change will apply to existing subscribers)
Vanuatu,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Venezuela,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Vietnam,VND,1199000,755370,917235,(Price change will apply to existing subscribers)
Yemen,USD,39.99,28.0,33.99,(Price change will apply to existing subscribers)
Zambia,USD,49.99,30.17,36.63,(Price change will apply to existing subscribers)
Zimbabwe,USD,49.99,28.78,34.95,(Price change will apply to existing subscribers)
