Countries or Regions,Currency Code,Price,Year 1 Proceeds,Year 2 Proceeds,Details
Guatemala,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Guinea-Bissau,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Guyana,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Honduras,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Hong Kong,HKD,48.0,33.6,40.8,(Price change will apply to existing subscribers)
Hungary,HUF,2490,1372,1667,(Price change will apply to existing subscribers)
Iceland,USD,6.99,3.95,4.79,(Price change will apply to existing subscribers)
India,INR,599.0,355.34,431.48,(Price change will apply to existing subscribers)
Indonesia,IDR,99000,62432,75811,(Price change will apply to existing subscribers)
Iraq,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Ireland,EUR,6.99,3.98,4.83,(Price change will apply to existing subscribers)
Israel,ILS,19.9,13.93,16.92,(Price change will apply to existing subscribers)
Italy,EUR,6.99,3.98,4.85,(Price change will apply to existing subscribers)
Jamaica,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Japan,JPY,1000,636,773,(Price change will apply to existing subscribers)
Jordan,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Kazakhstan,KZT,3490.0,2106.03,2557.33,(Price change will apply to existing subscribers)
Kenya,USD,6.99,4.2,5.11,(Price change will apply to existing subscribers)
"Korea, Republic of",KRW,8800,5600,6800,(Price change will apply to existing subscribers)
Kosovo,EUR,6.99,4.15,5.04,(Price change will apply to existing subscribers)
Kuwait,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Kyrgyzstan,USD,6.99,4.37,5.3,(Price change will apply to existing subscribers)
Laos,USD,6.99,4.45,5.4,(Price change will apply to existing subscribers)
Latvia,EUR,6.99,4.04,4.91,(Price change will apply to existing subscribers)
Lebanon,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Liberia,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Libya,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Lithuania,EUR,6.99,4.04,4.91,(Price change will apply to existing subscribers)
Luxembourg,EUR,6.99,4.18,5.08,(Price change will apply to existing subscribers)
Macau,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Madagascar,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Malawi,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Malaysia,MYR,29.9,19.38,23.53,(Price change will apply to existing subscribers)
Maldives,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Mali,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Malta,EUR,6.99,4.15,5.04,(Price change will apply to existing subscribers)
Mauritania,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Mauritius,USD,6.99,4.25,5.17,(Price change will apply to existing subscribers)
Mexico,MXN,129.0,77.84,94.53,(Price change will apply to existing subscribers)
Micronesia,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Moldova,USD,6.99,4.08,4.95,(Price change will apply to existing subscribers)
Mongolia,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Montenegro,EUR,5.99,4.19,5.09,(Price change will apply to existing subscribers)
Montserrat,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Morocco,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Mozambique,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Myanmar,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Namibia,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Nauru,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Nepal,USD,6.99,4.24,5.15,(Price change will apply to existing subscribers)
Netherlands,EUR,6.99,4.04,4.91,(Price change will apply to existing subscribers)
New Zealand,NZD,9.99,6.08,7.38,(Price change will apply to existing subscribers)
Nicaragua,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Niger,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Nigeria,NGN,9900.0,6446.51,7827.91,(Price change will apply to existing subscribers)
North Macedonia,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Norway,NOK,79.0,44.24,53.72,(Price change will apply to existing subscribers)
Oman,USD,5.99,3.99,4.85,(Price change will apply to existing subscribers)
Pakistan,PKR,1700.0,1190.0,1445.0,(Price change will apply to existing subscribers)
Palau,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Panama,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Papua New Guinea,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Paraguay,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Peru,PEN,24.9,14.77,17.94,(Price change will apply to existing subscribers)
Philippines,PHP,399.0,249.38,302.81,(Price change will apply to existing subscribers)
Poland,PLN,29.99,17.07,20.72,(Price change will apply to existing subscribers)
Portugal,EUR,6.99,3.98,4.83,(Price change will apply to existing subscribers)
Qatar,QAR,19.99,13.99,16.99,(Price change will apply to existing subscribers)
Romania,RON,29.99,17.35,21.07,(Price change will apply to existing subscribers)
Russia,RUB,499.0,286.31,347.66,(Price change will apply to existing subscribers)
Rwanda,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
São Tomé and Príncipe,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Saudi Arabia,SAR,24.99,15.21,18.47,(Price change will apply to existing subscribers)
Senegal,USD,6.99,4.15,5.04,(Price change will apply to existing subscribers)
Serbia,EUR,6.99,4.08,4.95,(Price change will apply to existing subscribers)
Seychelles,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Sierra Leone,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Singapore,SGD,8.98,5.77,7.0,(Price change will apply to existing subscribers)
Slovakia,EUR,6.99,3.98,4.83,(Price change will apply to existing subscribers)
Slovenia,EUR,6.99,4.01,4.87,(Price change will apply to existing subscribers)
Solomon Islands,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
South Africa,ZAR,119.99,73.04,88.69,(Price change will apply to existing subscribers)
Spain,EUR,6.99,4.03,4.9,(Price change will apply to existing subscribers)
Sri Lanka,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
St. Kitts and Nevis,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
St. Lucia,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
St. Vincent and the Grenadines,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Suriname,USD,6.99,4.45,5.4,(Price change will apply to existing subscribers)
Sweden,SEK,79.0,44.24,53.72,(Price change will apply to existing subscribers)
Switzerland,CHF,5.0,3.24,3.93,(Price change will apply to existing subscribers)
Taiwan,TWD,190,123,149,(Price change will apply to existing subscribers)
Tajikistan,USD,6.99,4.29,5.21,(Price change will apply to existing subscribers)
Tanzania,TZS,17900.0,10406.27,12636.19,(Price change will apply to existing subscribers)
Thailand,THB,199.0,130.19,158.08,(Price change will apply to existing subscribers)
Tonga,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Trinidad and Tobago,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Tunisia,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Türkiye,TRY,299.99,166.24,201.87,(Price change will apply to existing subscribers)
Turkmenistan,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Turks and Caicos Islands,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Uganda,USD,6.99,3.94,4.78,(Price change will apply to existing subscribers)
Ukraine,USD,6.99,4.08,4.95,(Price change will apply to existing subscribers)
United Arab Emirates,AED,22.99,15.33,18.61,(Price change will apply to existing subscribers)
United Kingdom,GBP,5.99,3.47,4.23,(Price change will apply to existing subscribers)
United States,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Uruguay,USD,5.99,4.06,5.01,(Price change will apply to existing subscribers)
Uzbekistan,USD,6.99,4.37,5.3,(Price change will apply to existing subscribers)
Vanuatu,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Venezuela,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Vietnam,VND,199000,125370,152235,(Price change will apply to existing subscribers)
Yemen,USD,5.99,4.2,5.09,(Price change will apply to existing subscribers)
Zambia,USD,6.99,4.22,5.12,(Price change will apply to existing subscribers)
Zimbabwe,USD,6.99,4.02,4.89,(Price change will apply to existing subscribers)
